text,label
کشاورزی که نون بازوش رو میخوره نمیتونه خایمال باشه، الکی هم از ما نپرس ,SAD
جفری دامر دوست داشت بیشتر توی خانه غذا بخورد.تنها.مامانش بهم گفته از بچهگی عادتش بوده،حتا عروسکاشم میخورد. همهچیز از زمانی بههم ریخت که یکی از دوستاش به جفری گفت من باید برم بیرون ی چیزی بخورم.نباید به جفری چنین چیزی گفت،او مدتی بود که ترس از تنهایی داشت. برا شام برین پیشش.,FEAR
یعنی باشوگرمامی یا ددی ازدواج میکنن؟ مگه فقط واسه خوشگذرونی نیست,SURPRISE
" تاحالا مچ پاهاتون در رفته؟؟اگه آره چندبار؟؟

با هشتگ بگین :)

*خودم بارهاااااااااا هردو مچ پام :/از بس از درو دیوار بالا میر…",SAD
"روزی که رهبرحکیم انقلاب اسلامی فرمودند، اگر بنا به تحریم باشد، ملت ایران هم می‌تواند تحریم کند واین کار را خواهد کرد، عده‌ای غربزده‌ی خشک مغز می گفتند مگه داریم،مگه میشه که اروپایی ها و آمریکایی ها به جایی برسندکه ما آن ها را تحریم کنیم؟
#KhameneiTheGreat

#رشتو۱ www.link.com",SURPRISE
"کم‌کم به این نتیجه میرسند که استامینوفن بهترین دارو برای درمان و پیشگیری #کرونا هست :))). 
همینقدر 🥚 ای www.link.com",OTHER
"@username آخه نبودنش هم حالت بدتر داره.
کرونا جان حواست باشه، حالت خوب منظورمونه.",OTHER
اما بعضي وقتا خيلي بهش فك مي كنم، اونقد كه سرم درد مي گيره!,ANGRY
صدای هیات اونور خیابون میاد دم گرفتن ای لشگر صاحب زمان آماده باش آماده باش . چه ربطی داره واقعا,ANGRY
 عجب دورانی بود‌ اون موقع ها صدای زن گوش دادن حرام بود. حالا مومنین لایو اینستاگرام می رن با خواننده زن، هر هر می خندند و هم نوایی نیز می فرمایند ,SAD
من نه قدیما داشتم نه الان دارم لذت دنیا رو هم میبذم,HATE
"خاک بر سری از این بدتر که دیگران حقمون را بالا بکشند اشتغال ،ازدواج و مسکن و بهداشتمونو با این همه ثروت ملی بهمون ندن ،اونوقت خودمون هم با سیگار ، قلیون و الکل تنها سرمایمون که سلامتی هست را به خطر بندازیم که چی؟!!!
خدایا کمی تفکر!!! www.link.com",HATE
کارمندان ادارات آب و فاضلاب روستایی خوزستان بیشتر از ۵ ماه میشه که حقوق نگرفتند. امروز مرد ۴۰ سالهای گریه میکرد و میگفت: بخدا اگر بفهمی ۵ ماه بدون حقوق خونه رفتن یعنی چی. مسئولان محترم؛ فرض کنید اینها بازیکنان پرسپولیس یا استقلال هستند، بدیهیهاشون رو بدید.,SAD
۲. جنبش صداهای سرکوب شده است . اما این جنبش سخنگوی هیچ کسی نیست . در این جنبش ، همون مادری که زجه میزنه برای فرزندش ، همون پدر شرمنده تو چشم زن و بچه اش ، همون برادری که تا سی سالگی از پدرش پول توجیبی میگیره خودش صدای خودشه . این جنبش ، جنبش صداهای سرکوب شده است #جنبش_سیمرغ,ANGRY
" پامپئو: هفته آینده مکانیسم ماشه فعال خواهد شد

وزیر خارجه آمریکا:

🔹کشورهای اروپایی به واشنگتن در تمدید تحریم‌های تسلیحاتی…",HATE
 علاوه بر شرایط موجود باید شرایط روحی هم در نظر گرفته بشه که با درگیری خانواده ها با این بیماری برگزاری این آزمون غیر ضر…,FEAR
ینی من عاشقتم استاد وزارت دفاع حال کردم,HAPPY
  عجب کلکی زدی ایول,SURPRISE
 دختراي عرزشي وقتي عكس پسر كت شلواري با تسبيح ميبينن www.link.com,HATE
برای ی اروپایی میخام پول بفرستم اول گفت با پی پال بعد دیدم خیلی دردسر داره گفت بیت کوین هم میتونی آدرس حسابشو داد,OTHER
@username گویا یادتون رفته این کاناداتون چقدر آدم فروشه! وقتی شاهتون بیمار بود با وجود اون همه دم تکون دادن حاضر نشدن به هواپیماش پناه بدن! عجیبه که حالا سلطنت طلبها کانادا پرست شدن! البته بگذریم از پناه دادن به همه اختلاسگران و مشارکت در تحریم دارویی این ملت و انداختن بمب رو بچه های یمنی,SAD
شدیدا خجالت میکشم به اطرافیانم بگم که برام فیلم ،کیلیپ و استوری نفرستن من دوس ندارم. حداقل استوری یا پست کسایی که فالوشون کردم رو نفرسن واقعا این کار عصبیم میکنه,ANGRY
"@username جناب جهرمی، شما هم تست کرونا دادید؟
این کیت ها چه شکلی هستند؟
چی شده که اکثر مسئولین با وجود نداشتن علائم  تست دادن؟
آیا نباید این کیت ها در اختیار بیمارستان‌ها باشه؟",ANGRY
از این دانشجوهای فرستاده نظامه، حتما هم استادش طوسی بوده، طریقه برخورد با دانشجو رو از استادش یاد کرفته. یک سری کمپس هستن که نظام در خارج مثل کانادا و آمریکا باز کرده و از دلنشجوها بعنوان استادیار استفاده میکنه. دست زدن به دانشجو یا دانش‌آموز زندان داره.این احمق فک میکنه ایرانه,FEAR
"@username @username مردمی که برای دلار ۲۲ هزار تومنی اعتراض نمی کنه،
برای دلار  ۳۵ هزار تومنی هنم اعتراض نمی کنه،

کسی قصد اعتراض داشته باشه همین الانم دیر شده

البته خوب طبیعیه که اعتراضات پراکندهء صنفی رخ بده، یا مثلا  اعتصاباتی صورت بگیره

اما اون خیزشی که براندازی کنه بعیده",SAD
شرکت خودرو سازی بی ام و سایتشو تبدیل ب تولید ماسک کرده انوقت این ایران خودروی و سایپای کفتار و لاشخور چ گوهی خوردن فقط جیب ملتو خالی کردن,OTHER
منو منشن کردی کامنت دادی.. حالا نادان کیه؟!  ,ANGRY
واقعا مشکل روحی روانی دارین برین دکتر ی مشت خشم فروخورده و خاموش از کودکی نگه داشتین ک چی بشه نچ نچ,ANGRY
ریزش رای ترودو دلیل اقتصادی داره . اتفاقا به خاطر هماهنگی حزب محافظه کار کانادا با ترامپ ، مردم برای کم شدن مشکلات اقتصادی به شیر رای دادند و اتفاقا رای بالایی آورد . همین حمایت اقلیت ها مثل بومیان جلوی انتخاب محافظه کار رو گرفت . (بنده به هیچ کدوم از این دو حزب تعلق خاطر ندارم),FEAR
توی فرهنگ ما اصلی به نام موفقیت وجود نداره یا کم وجود داره...اغلب ما داریم فیلم بازی میکنیم و هدف نهایی و دقیق در نظر نداریم,SAD
اون غذا رو بخور حداقل ممه هات از ۵۷ به ۶۰ برسه,HATE
"آقای وزیر در کجای دنیا ۵ نفر سواد ۱۳۰۰۰ دانش آموخته دانشگاه های یک کشور رو زیر سوال میبرند؟؟؟توهین به ساحت مقدس دانشگاه و کادر درمان به وقت کرونا!!! #لغو_طرح_توهین‌آمیز
#اخراج_و_عزل_مهدی‌شادنوش_میرزای‌رزاز_حسین‌داوودی_محمدصفریان_عبدالرضا‌نوروزی
@username",SURPRISE
همیشه نباید دختر و پسرایی که صرفا دنبال رفع نیاز مالی یا جنسی تو رابطه ان و محکوم کرد باید واسه این نوع تربیت و اموزش تاسف خورد وقتی هنوز تو نیاز های اولیه شخصیشون موندن و راهکاری واسه رفعش ندارن طبیعیه که نتونن نیازهای عالی مثه دوست داشتن و دوست داشته شدن و درک کنن,SAD
#ورکشاپ 3 روزه در مورد  مسایل #تدارکات _و امورمالی برای کارمندان چهار ولایت از طرف #برنامۀ_ملی_میثاق_شهروندی #وزارت_احیا_و_انکشاف_دهات درحوزۀ غرب در ولایت #هرات دایر گردید. www.link.com,ANGRY
@username نه، میخوام مقداری تومن رو بفروشم ، دلار بخرم، نقد,HATE
"این پکشون بود :((((
اصنم فاصله ها ۱ مترو ۸۰ نبود…
۱ متر بود شاید جلوی در ورودی همه وایستاده بودن بود
در اخر تهویه ها مزخرف
با ماسک نمیشد نفس کشید
و سوالات هم که لو رفت
#کنکوری_نکشید www.link.com",OTHER
"راستی کی یادش اخرین بار کِی داشتیم زندگی عادیمون رو میکردیم 
بدون فکر کردن به قیمت دلار، طلا، بنزین.
بدون فکر کردن به آمار کشته شده های یه حادثه(جنگ، پلاسکو، سانچی، هواپیما، اعتراضات و ....) 
و...
اصن کی یادش آخرین بار بدون هیچ دغدغه‌ای به حال خوب خودمون  فکر میکردیم؟
😐🚶🏼‍♂️🚬",SAD
البته صاحبان مرغداریها سالهای ساله که چنین جنایتی رو برای بیمه و قیمت مرغ مرتکب می‌شن. صداش الان دراومده,ANGRY
همین منوچهری دامغانی خودمون؟         عجب موجود عجیبی بوده!  واقعا در بیان همچین جزئیاتی از تخیل رده باید به جنون رسیده باشه,SURPRISE
 چی بگه آدم  به قول قدیمیا تا خر هست خر سوارم هست ... https://t.co/tCQfGMztSt,ANGRY
تو خایت کجا بود دختر خانوم بیایی خیابون تو ایرانی نیستی ثهیونیست زاده ای حرامی,HATE
بی حیا  ,ANGRY
"الهم صل علی محمد و آل محمد و عجل فرجهم.

همسرتون اگر هنوز بیماری شون حاد نیست می تونند به دستور العمل طب سنتی دوستمون در آیدی  @username  مراجعه کنند. ایشون برای پدر و مادر مسن شون که به کرونا مبتلا شده بودند و حتی بیماریهای زمینه ای داشته اند عمل کردند و نتیجه گرفته اند. www.link.com",OTHER
چقدر اعصابمو خورد میکنن اینا ..  یه جمله الان جاشه بگم ..ولی زشته نمیگم  ,ANGRY
از ادمايى كه هواسشون بهم نيست بدم مياد,HATE
چه جالب... این اتفاق برای دوست یکی از دوستای منم افتاد! ولی بااین تفاوت که چیپس و ماست تنهایی توی خونشون میخورد و مرد...گفتن در اثر ضربات فیزیکی جان به جان افرین تسلیم کرده   …,SAD
از بیمارستان میام دوستم بخاطر رتبه بد خودکشی کرد :) مامان و باباش حتی حاضر نشدن بیان بالا سرش! واقعا یه رتبه انقد ارزش داره ک همچین بلایی سر دخترشون بیارن ؟! اعصابم بشدت کیریه,ANGRY
این زن ها فرشته اند !!! - زن هایی که با قناعتشان باعث میشن؛مردی با درآمد و توان کم مالی،توی زندگی سربلند و شاد باشه!,HAPPY
"این بحران کمبود ماسک و اینکه داروخونه ها به هرکس ۲ یا ۳ تا بیشتر ماسک نمیدن منو یاد بحران نواربهداشتی انداخت
یادمه اونموقع علاوه بر خودمو خاهرم داداشمو شوهر خواهرمو رفیقشم وایسادن تو صف که نواربهداشتی بگیرن😂😂😂",OTHER
این جوان بر روی دوربین خود متمرکز بوده و لحظه آخر متوجه نزدیک شدن قطار میشود و هنگام فرار لباس وی به قطار گیر میکند. بررسیهای اولیه نشان میدهد سرعت قطار در لحظه ورود به حریم ایستگاه بیش از حد مجاز و قانونی بوده و علیرغم اینکه امکان توقف داشته است متاسفانه ترمز نکرده است.,SAD
جدیدا نسبت به تکرار بیش از حد کلمهها تیک عصبی پیدا کردم، مثلا یهو میام میبینم هزار نفر نوشتن فلان چیز روزمو ساخت، یا دو هزار نفر نوشتن تا صبح گریه کردم و یا سه هزار نفر نوشتن فلان کارو کردم بیاید تبریک بگید اعصابم خورد میشه.,ANGRY
"روحانی احتمالا دلار رو چرب کرده
هرچی گرون میشه عین خیالمون نیس",FEAR
کارگران گروه ملی فولاد اهواز امرروز یکشنبه ۲۰آبان ۹۷ برای دومین روز متوالی در مقابل ساختمان استانداری رژیم در این شهر تجمع اعتراضی برگزار کردند. آنها در اعتراض به پرداخت نشدن ماهها حقوق و همچین وضعیت نابسامان کارخانه تجمع کردند. #خروش_آبان #اعتصاب_سراسری,OTHER
وزیر بهداشت کشور میاد میگه کسی از خونه‌اش بیرون نیاد از مردم گلایه هم میکنه بعد وارد جلسه ستاد کرونا میشه با رفیقاش میگن وضعیت به حالت عادی برگرده همون ساعات مقرر برید سر کار.,SURPRISE
978 کیلومتر ... ازین اعداد و فاصله ها متنفرم ...,HATE
از مادرجنده هايي كه خايه ندارن اسم خودشونو بذارن چيز بيشتري انتظار نميره كير تو سرت,ANGRY
کلا عین اعتقادات و توئیت زدناتون ... !!   در قبال رانت و نون مفت سفره انقلاب ...,ANGRY
لزبین مگه همون نیست که هرکی از دخترا خوشش بیاد؟! گیج شدم بخخدا :/,SURPRISE
"خب بریم سراغ سوال بعد:

چرا عقربه ساعت اینوری میچرخه، اونوری نمیچرخه؟!

ضعف+قرنطینه 😁",OTHER
چی بگم بخدا، طرف کوت کرده نوشته عقده موج میزنه ,ANGRY
دقیقا از کدوم شادی و هیجان حرف میزنه موندم بخدا از 25 ابان تا همین امروز چیزی جز ترس و خفقان و نا امیدی به جامعه تزریق نشده بعد خیلی وقیحانه از شادی و هیجان میگه چتووونه ؟ چرا اینقدر وقیح شدین؟ ,ANGRY
"@username @username @username @username این افراد گوشه‌ای از صدای ملت ایران هستند که هر ساله در نطفه خفه میشن
بر پا کردن چوبه دار از تردستی های حکام ایرانه
شاید فردا نوبت ما باشد🤔 www.link.com",HATE
@username چطور کاهش قیمت دلار باعث افزایش قیمت مواد غذایی میشه؟,SURPRISE
من خودم با قرنطینه کردن حداکثری موافقم. اما در عین‌حال هیچ کشوری نمی‌تونه تا وقتی واکسن درست بشه تو قرنطینه بمونه. قرنطینه طولانی بشه اقتصاد از هم می‌پاشد. اقتصاد بپاشه یعنی یک کشور درجا ویران می‌شه. راه‌کار کوتاه‌مدت: در خانه بمانیم راه‌کار بلند مدت؟ اصلن بهش فکر کردید؟,FEAR
من تو بند دارم آشپزی می کنم برای هم بندی های عزیز ,HAPPY
ایا از انتخاب رشته خود رنج میبرید؟؟؟ :)))))),OTHER
جوانی و شادی و زندگی و سلامت و آینده و هرآنچه که فکر میکنید در این خرابشده ندارید، در واقع بازیچهی این پفیوزهاست. (واضحه که حسن روحانی رو به نمایندگی معرّفی کردم دیگه؟),ANGRY
چرا ینی ؟  ,SURPRISE
دو سه هفتس یه سردرد تخماتیک، فین فین تک و توک و عطسه گه گاه دارم. امیدوارم بلایی سرم نیاد.,FEAR
" گردباد نامریی و خاموش کرونا
حریرچی: کادر درمان ۴ ماه است حتی اصل حقوقشان را هم دریافت نکرده‌اند.
روند افزایش ابتلاء به کرون…",ANGRY
تو اخبار شبکه ی آبادان یه پسری رو نشون دادن میگفت یه کاندیدی بهمون گفت پوستر تبلیغاتی بچسبونید بهتون صدتومن میدم ما هم کلی چسبوندیم الان پولمونو نمیده :))),ANGRY
خیاطم خودم    ست میدوزم برا هر دومون  ,OTHER
"به نظرم فریدون فروغی بعد از خوندن اون تیکه ""من نیازم تو رو هر روز دیدنه از لبت دوستت دارم شنیدنه"" جا داشته تا ساعتها یا شایدم روزها و ماه ها بشینه گریه کنه",SAD
انقدر عصبیم که حتی نمیتونم برم از اتاقم بیرون اعتراض کنم به کارش,ANGRY
«صاحبخانه بدش نمی‌آمد که ما همیشه گریه کنیم، عزادار باشیم و مصیبتنامه بخوانیم، چون مشغول می‌شدیم. دیگر کسی از او نمی‌خواست پشت‌بام را کاه‌گل کند یا برایمان آب لوله بکشد.» از کتاب آبشوران علی‌اشرف درویشیان حال روز خودمونه,ANGRY
کدوم خر نفهمی زده تولید بیت کوین ,ANGRY
حالا چرا اسفند؟؟؟؟؟  زودتر نبود؟؟؟؟؟  ,SURPRISE
گندشو درورده و منزجرکننده شده  ,HATE
مرسی عزیز و همچنین برای شما بهترین آرزوها می‌کنم  ,HAPPY
سوریه ای شدن یعنی چی؟ یعنی نابود شدن مملکت. یعنی مدفون شدن مردم زیر خاک و دود و بی آبی و خشکسالی و بی پولی و فقر و زباله گردی و فرار مغزها و کشتار مردم در خیابان و بازداشتگاه و قطع دست و درآوردن چشم و غارت اموال عمومی.. زر نزنید لطفن. ایران خیلی وقته سوریه شده!,ANGRY
کار به جایی رسیده که خبرگزاری تسنیم که به سپاه پاسداران منتسب هست،رائفی پور رو غیر مستقیم شیاد و مهمل گو معرفی کرده و نوشته استدلال های موهوم این شخص باعث تمسخر جریان انقلابی شده:)) ,ANGRY
@username حقیقتن خیلی خری من قبل قرنطینه برو بیایی داشتم؛ از تو بهترم پول و عمر و انرژی دیگرانو واسه کنکوری ک اصن براش تلاش نمیکنی تلف کنم😌👅,HATE
"@username خدایا نه😑 صدتا بلا اومد جلو چشمم.
خدایا یه زنگ تفریح بده خواهش میکنم...",HATE
"@username این نصف کارخونه از کجا متوجه شدن کرونا گرفتن ؟؟؟

فکر نکنم اینهمه کشکی باشه با یه نگاه متوجه نوع بیماری شد",SAD
سیزده به در خیلی فاجعه ست حس میکنم!,OTHER
بیشتر از خود کیروش از صدای مترجمش متنفرم #دلال_موزامبیکی,HATE
خدت بگذره من نمیگذرم #Taeyong #UnrivaledDancer_Taeyong #SUPERM_TAEYONG @username,SURPRISE
@username @username تن آدمو‌ میلرزونه!:)) احتمال صب با مستعان۱۱۰ بخوان ببینن کرونا داریم یا نه، بعد یه تب سنج تب همه رو ۳۲-۳۳ اندازه میگیره، بعد چنتا نیروی جهادی صدعفونی میکنن داوطلبینو آخرشم راهی دیار باقی میشیم🤲,SAD
میخوای آدرس بده ما هم راحت سر به بالین بذاریم,OTHER
@username منو تو باید از نزدیک رفیق میشدیم که تو ماشین یه مسیر دویست کیلومتری رو هیچکس گوش کنیم فقط. چین این رفیقا؟,OTHER
احتمال اینکه یه نفر بره قم و بعد بره بابل چقدره؟ همون یه درصد اپسیلون هم‌اتاقی ماست =)))))))))))))))))))))))))),FEAR
 بیشتر بخوانید | پرزیدنت #ترامپ بر تعهد دولت ایالات متحده به ریشه‌کنی #ایدز در #آمریکا ظرف ۱۰ سال تاکید کرد ,HATE
  بی ادب,ANGRY
@username والا مام 22 ایم خیلی هم خوب حس کردیم، حواس 5گانه تون رو بعد از کرونا یه چکاب بفرمایید دوست عزیز,HAPPY
"@username @username چه کنیم؟ صمد رو بیاریم رو نیمکت؟!
یعنی سعادتمند با این گندی که زد باید بمونه؟ سه ماهه ریدین به هیکل مجیدی؛ واسه باختش جشن میگرفتید. هنوز هم رو دارین.",HATE
همین که خبرنگار #حکومتی تو آمریکا راحت گزارشش رو میگیره و کسی کاریش نداره، مؤید گ*ه خوریای بی حد و حصر #صداوسیمای_میلی ئه . #کرونا,ANGRY
ازدواج بیش از ۴ هزار و ۴۰۰ دختر زیر ۱۴ سال در اردبیل طی سال ٩٧ www.link.com @username @username @username @username @username,ANGRY
عجب خوابی دیدم. توی ساختمان چند طبقه ای بودیم با معماری خوب ولی دیوارهای کثیف. خواب دیدم دو تا از دوستانم دست به کار شدند و روی دیوارها طرح زدند که نقاشیشان کنیم. طرح ها بی نظیر و من از شوق این کار هیجان زده بودم. الان ناراحتم که چرا خواب بود .,SAD
عجب حال و هوايي داره اينجا خدايي,HAPPY
"کرونا رو شکست میدهیم؟
مرحله بعد چه گوهی میخوای بخوری؟!",ANGRY
اينها از اول گفتند؛ دو راه بيشتر نداريد! يا با ما هستيد، يا با ما!,SURPRISE
 دقیقا مث تمام دخترایی که میگن ما هیچ یه بارم خونه پسر نرفتیم به هرکی میرسی میگه من تابحال نرفتم و نمیرم حالا بماند که از همه کار بلد تر بودن اینایی که نرفته بودن و نمیومدن!!!! اینم مث همونه,SAD
@username خاکبرسرشون نشستن رو زمین .ویروس کرونا اینقدر سنگینه که روی زمین‌میشینه فقط نیم ساعت  در هواست .اینا چرا نمیفهمن اونجا قم جایی گه کرونا بیداد میکنه,OTHER
فامیل دور ما داره میره عروسی فردا زیبا نیست ؟؟,OTHER
@username اره واقعا. بیشترین کتابیه که کادو گرفتم. بیشترشو کادو دادم. اینم میدم به تو,HAPPY
اینقدر بدم ازن با حجاب اسلامی میاد نمی دونم چرا,HATE
@username ای کاش در مورد عدم همبستگی و فردگرایی و نان به نرخ روز خوری ما مردم ایران هم در بحث صحبتی می شد که چه کسانی دام و گوشت را قاچاق می کنند؟ ما هستیم که بجای اتحاد و پشت هم بودن فکر سود بیشتریم و فقط در فکر صف خرید و فروش دلار و گوشت و پوشک و بعدا کالای دیگری هستیم,SAD
@username @username ی روزی مرغ منم تخم طلا میزاره ...🚶‍♂️🚶‍♂️🚶‍♂️,SURPRISE
انگار از سلامت اونا خبردارن   کارا میکنن آدم میمونه ,SURPRISE
احتمال داره یه اتفاق خیلی اثرگذاری تو گذشته‌های دورت تو همین ساعتها افتاده باشه که ذهنت هنوز درگیرشه اگه بتونی فکر کنی و پیداش کنی دیگه راحت میشی از این استرس,SAD
این ها بعلاوه اینکه چرا دادگاه یک طیف خاص هیچ وقت رسانه ای نشده و نمیشود اما برخلافش ... ,SAD
فک کردم دیدم دلیل عدم افسردگیم نذاشتن پست در اینستاگرامه یجور هرکس منو دید گفت چه بی خبر اومدی انگار قرار بود قبل اومدن ازینا اجازه بگیرم ببخشید ایشاا.. دفعه بعد تکرار نمیشه ,SAD
@username @username @username @username بعد هم تروریست کسی هست که بمب ۱۵،۰۰۰ دلاری رو روی پهباد ۱۰ میلیون دلاری میبنده و ساعتی برای پروازش ۳،۰۰۰ دلار هزینه میکنه که یه یمنی رو بکشه که حقوقش ۱۰۰ دلار نیست در ماه .. اره عزیزم .,ANGRY
خانم یکی از رفقا نتوُرکی بود همه اطرافیان رو به معنای واقعی کلمه ساییده بود دو سال پیشم به همه میگفت فلان ماشینو میخرم امسال شوهرشو مجبور کرد براش وام بگیره تا یه پراید بخره ,SURPRISE
"جمهوری اسلامی چند سال پیش وقتی میگفت تحریم ها اثر ندارند
Vs 
جمهوری اسلامی بعد از فعال سازی مکانیزم ماشه www.link.com",HATE
برای گذر از خرافات و جهل چاره ای از نقد عالمانه نیست ، تنها با نقادی امکان مبارزه با جهالت فراهمه ، افسوس که چنین هجو هایی هیچ کمکی نمیکنه ...,ANGRY
وزیر خارجه پمپئو: مراتب صمیمانه ترین تسلیت خود را بخاطر درگذشت تونی مندز به خانواده وی ابراز می دارم. او یک مامور اطلاعاتی فوق العاده بااستعداد بود. خارج کردن آمریکایی ها از جمهوری اسلامی ایران در سال ۱۹۸۰ تنها یکی از موفقیت های بسیار او بود. تونی واقعا یک قهرمان آمریکایی بود. …,SAD
چند بار با مرگ عزیز ترین افراد زندگی رو به‌ رو‌ شدم  هیچ‌وقت هم نتونستم بهش عادت کنم فقط تحمل کردم ندیدن نزدیکترین افراد زندگیمو چیه این زندگی اینقدر ازش بیزارم کاش  کلن نبود امروز مادر بزرگمم رفت.  نمیتونم بپذیرم کنم کسی که تا دیروز بینمون بود امروز دیگه نیست ,HATE
میترسم بعد این داستانا که برم بیرون دیگه پوستم به آفتاب واکنش نشون بده و در عرض یک هفته بمیرم,FEAR
افرین دقیقا خدامیدونه چقدر از این کارها صورت گرفت توی این چهل سال شومی ک اینا وارونه کردن مطلب رو,SAD
یکیو میخوام همه بخوانش ولی اون منو یعنی دقیقا تو ,OTHER
@username نوتروفیل خونش رو به زور داروی امام کاظم علیه السلام و ژل رویال بالا نگه داشتیم مریض بشه که واویلاس,ANGRY
تو این خراب شده کی مزخرف نیست!!!,SURPRISE
@username ولی دارو دسته ی شما عرضه ی همین کارهایی که از نظر شما ساده هست هم ندارن,OTHER
@username فک کنم ویروس کرونا تغییر ژنتیک داده به گشادی😅,OTHER
اخ گفتی ,SURPRISE
www.link.com    آخرین آمار تایید شدۀ آلودگی مردم مناطق مختلف دنیا به ویروس کرونا را می توانید در لینک زیر مشاهده کنید,SURPRISE
نه. ارتباطی نمی‌بینم. خیلی بی در و پیکر‌تر از این‌هاست. تا جایی که می‌دانم. اما خوب من که نه متخصص پذیرش هستم و نه افسر مهاجرت. این طور که من می‌دانم کانادا از اول نسبت به آمریکا سختگیرانه‌تر پذیرش دانشگاه می‌داد. منتها الان مشکل ویزای آمریکاست.,SAD
کرونا با تهدید احتمالی‌اش تک‌تکِ از انسان‌ها را به شدید‌ترین بحران ذهنی، خانوادگی، سیاسی، اجتماعی و اقتصادی روبرو ساخته است. پس آیا بهتر از این برای انسانِ عاقل چیزی وجود دارد که با رجوع و تکیه به خالق، آرامش و آسودگی دنیا و آخرت را از آن خود نماید؟! www.link.com,ANGRY
یعنی ما در یه چیز اجماع داشتیم اونم تیم ملی بود چرا چون تنها چیزی بود که وسط هر بدبختی ای دو ساعت به ما حس ملت بودن میداد الان دارم میبینم دوستان از شکست تیم ملی به ارگاسم رسیدن و از سر شب دارن یه سر توییت میکنن و ریز ریز میخندن انقدر عصبانیم که حد نداره,ANGRY
بنده خدا معلوم نيست كي براش پناهيان و كريمي مداح رو لايك ميكرده. يكم از ١٥٠٠ كشته ابان شرمت بياد كه در جهت تحكيم اين سيستم داري كار ميكني. ننگ بر بي بي سي,OTHER
حنا ، بزرگ شدی شاید این کوت رو دیدی خاله، ببین کی بهت گفتم! وقتی که جوانهامون سر به دار میشدن و مردممون داشتن از گرسنگی میمردن وقتی که به دخترهامون تو ایرانشهر تجاوز شد و هنوز کسی نمیدونست #ویدا_موحد کجاست ، بزرگترین دغدغه مامانت التماس واسه رفتن به استادیوم بود!  …,SAD
اوووووف اصن عالی بود که آخرش میره میشنه رو صندلی کنار صندوق برندونم که کلا ریده شده بود تو هدفش میره مشروب میخوره و فیلیپم پشت پیانو مات و مبهوت درحالیکه صدای آژیر ماشین پلیس میاد همش تو یه قاب اصن دوس دارم هیچکاکو بغل کنم و ببوسم,OTHER
ممرضا جان شما که با امید مچ شدی دیگه چرا صفو بهم میزنی؟؟,SURPRISE
خودش دست بجنبونه به من چهههه ,HATE
