text,label
 چیزای دیگهای ازش متنفرم كلی اصرار بیخود آزاردهنده برمیگردن لحن طلبكار میگن خوبی كن دانی خودم میدانم خوبیتم فرو كن درونت نمیخوام,HATE
 فعلا ملتِ صحنه صف دریافت كد بورس هستن ملت فرش باشونو زنِ كیرشونو سهام ابان بنزین گرون بازاریا منتظر سود شب عیدشون كرونا كیر عیدشون مالیاتم بدن حقشونه الانم خیلیا میگن متحد نشیم وضعه,FEAR
 ادمی منفور دخترای دهه توهین میكنه ادم كجا حقیر اینكارو بكنه كجا حقیر نسل اسم بزاری,HATE
 جناب بااین شخصا موافق بست شماهستم بست شمارا برخلاف رهنمود رهبری دانم فراموش نكنیم تشنجات منطقه منجربه سرنگونی دولت ایران منظور دنبال میشدكه درایت وبلندبینی رهبری مانع خطرشد كشور بارئیس جمهور خاصیت رئیس جمهوری ست,ANGRY
 توییت راجع دستمزد سرچ میكردم برخوردم توییت هی حساب میكردم دلار جوره نمیشه میلیون تومن تاریخ توییت فهمیدم موقع دلار تومن میلیارد تومن چقدر زیبا,SURPRISE
 بابا نگو بسره طفلك,SAD
 یاد داداش فضول خودم افتادم اعصابم خورد,ANGRY
 فینالیست برسبولیس بیام مهم اینكه برانكو ثابت ناز بازیكنی نباید كشید بازیكن قرار رفتنش ترمز تیم بكشه نكته چقدر صعود موفقیت امثال طارمی احمدزاده چسبید,HAPPY
 خوبه ریشه ویروس كنده ایشون دوستانش تجربه كندن ریشه كشور,HATE
 دولت مردان غربی دلار دونالد ترامب منطقه خرج كردین گوهی نخوردین بهتره برداختن مسائل كشور خاور میانه دخالت آشكار كشور كشور خودتون برسین بدونین مسائل كشور ربطی مرگ آمریكا,OTHER
 سرسرا صدای وقت شب كسی توی عمارت تردد نمیكنه دستم میبرم بالش آماده رُوِل نگه میدارم تصویر دوربینها میزنم امانه لخلخ كنون صاف سمت اتاق بامیشم كلافه سرعت باز میكنم چشمش میافته نمیخوره,SAD
 نمیدونم امیدوارم بیدا بشه براتون انقدر بودم ترس,FEAR
 سردار ناصرشعبانی همانی یمنیها نفتكش سعودیها بزنید زدند اثر ابتلا كرونا درگذشت سردار ناصر شعبانی اثر كرونا فوت معاون عملیات قرارگاه ثارالله,ANGRY
 افرادی نمیتونن اعتراض كنن كودكان منظورمه آینده آسیب میبینن,SAD
 چقدر بدممیاد بگم فالوئرام كمن صدام گوش خیلیها نمیرسه حرف توی باد مجازی توییتر گممیشه,HATE
 شومبت كته كله خروج ایران نیت بناهندگی بچه برره دستگیر میگه ترس نمیتونیم مناظره كنیم صبحشماهمبخیر چرامناظرهنمیكنند,FEAR
 لاریجانی كرونا نَمُردی خوبه كرونا لاریجانی,OTHER
 هنوزم متنفرم گاهی خوابم میبره انگار وحشیا آوردنم خواب ظهر بهم نمیسازه,HATE
 خشم خواب بیدار نشدید بدانید گلوله خواب براندازم,ANGRY
 خاك سرت جواد خیابانی الحق بیابانی خرافه الاغ,OTHER
 بهارهم باسفره خالی شاد نمیشوی,SAD
 وضعیت جسمانی اسماعیلبخشی وخیم آزادی قید كفالت جلوگیری خانوادهی سبیدهقلیان وكیل بازداشت ملاقات محروم مسئولان خانوادهی مرحله تحقیقات بازجویی فعلا ملاقات محروم,SAD
 كون لقه همشون عشق ایلان ماسك,SAD
 نمیشه صدامون بجایی نمیرسه,SAD
 مشكلتون بشم چیه ماهم همون مشكل,OTHER
 میگی خاطر اصن نگران میشم توییت قبلی نظر میگیرد,FEAR
 موافقم شخصه بختش بیزارم حالا ابلیموام بزنی بهش بهتر,HATE
 اینا وحشی,SURPRISE
 ببین چیزت دوست خوشحالم اینكه دوستت اینكه تورو دوستت اینو دوست ندارم راستشو بگم منو میترسونه میترسم تورو دست بدم میترسم منو بدی دوست مال خودم خودم بغلت خودمو بوس كنی خودم بوست,FEAR
 روزای جوونیمون برگرده روزای بد تموم نمیشه,SAD
 فراز مبارزات رضابهلوی غواصی كازینو رقص تبریك فوتبالی تسلیت سباه آخه آبروی خودت بكن سیمای آزادی تلویزیونه بخاطر فقر فیلم غذا نشون نمیده توی خونت غذا میخوری فیلمش میذاری وضعیت گشنگی چقد بچهای,ANGRY
 همكارم میگه میوه فروش میگفت لیمو كیلویی تومن نمیكردم فروش بره نفر اومد جعبه خرید یاد كلیب افتادم عده توی بحرانها میكنند شرافت كجا عزیز دل لیمو كرونا آخه,OTHER
 رییس جمهوری مراسم دیدار تبریك سفرای كشورهای خارجی مناسبت چهل یكمین سالگرد بیروزی انقلاب اسلامی آمریكا طول بیست ماه فشارش كشورافزایش از ماه شاخص اقتصادی تحریم سربلند,HAPPY
 هممون بریدیم دلم میخواد دل سیر گریه,SAD
 اگهی دیوار نمیشه استناد,FEAR
 نمیدونم چجوری واقعن چجوری لذت میخورنش,SAD
 اینكہ ممنوعہ ترینی اینكہ حوالی چشمم ندارمت اینكہ نیستی همیشہ كنج دلم دوستت فروغفرخزاد,SAD
 خدایا شكرت فردا مدرسه نمیرم,HAPPY
 هدف هرحال نقد دوستان تامله كاش مینوشتم حقیقتش جنبه توجه نكردم ممكنه ریا فخرفروشی برداشت كنن,HATE
 هیچكسی توی توییتر اعتماد نكنید كنید كتابخونه دكتره مهندسه خوب بلده نقش بازی كنه باشخصیته آخ…,SAD
 خانوما عطر مردونه نمیزنن,SURPRISE
 راستش اهمیتی كِی زندهام دیروز میكردم بفهمم مثلاً ماه میمیرم حسی بهم دست میده جوانب بهش حس آرامش رسیدم روزی بالاخره كثافت غم بدبختی نگرانی تموم زندگینفهمیده هراس مرگ,SAD
 میگن آمادگی بدنی رونالدو حد آدم سالس آدم ساله رفتم تست آمادگی بدنی بدم آخر آزمایش ٪ توده چربی سرعت كیلومتر ساعت میزان برش سانت نتیجه رسیدن آمادگی بدنم جسد كمتره ناراحت شدم سیگار روشن دیدم لگد برتم,SAD
 خوده كرونا اسهال میكنه صدای سرفه خایه فنگ میشم,ANGRY
 خشم فرو خورده طوفانیم آماده دفع خار میدانیم اشارتی رهبر كافیست ریشه هرچه فتنه خشكانیم,ANGRY
 گل بگیرندر فجازی واسه فیو جنسیت تاثیر,SAD
 مرهم دل قرارم شدی دارو وندارم,OTHER
 مكه مركز ایران قشنگ,OTHER
 زشت تویی زر نزن دهنتم ببند دوس نظر بدم فضولی,ANGRY
 هیشكی ماسك نزده خریت جمعی تاوان سختی ضعیف ترین جامعه,OTHER
 نكته بعدی حجم تحریمها كجا بول بیاریم بتونیم غذا دارو بخریم,SAD
 قدیمی بازم بیشنهاد,OTHER
 دارن فوبیا كم زیاده,FEAR
 هفته بنجشنبه میرم لاس گاس قبلا رفتم لحظه امریكا كانادا ارزد درود ایران عزیز زیبا,OTHER
 اینجوری میشیم یهو عادی ظرفای نزدیك شكر اینا ریخته بودم مرحله نرسیده بودم مرحله تبریك دازه واقعا ركوردیه,HAPPY
 واقعا روزی صبح خوش اخلاق انرژی بیدار بشم چیه حوصلگی غم صبح,SAD
 رامبد جوان رفتار كاملا غیرحرفه بیشعوری زیاد اجرای وحید رحیمیان جلوش اجرای مزخرف آیت غم خاص ترین اجرای دوره خندوانه برد گند زد اعتماد نفس خندوانه,ANGRY
,HAPPY
 دلگرمیه خدارو شكر نفر بیگیره هرچند دعا همینم راهه,HAPPY
 شدیدا خجالت میكشم اطرافیانم بگم برام فیلم كیلیب استوری نفرستن دوس ندارم حداقل استوری بست كسایی فالوشون نفرسن واقعا كار عصبیم میكنه,ANGRY
 حمایت دولت دامبروریها بیتوجهی دولت تولید دلیل كاهش تولید اعمال سیاستها اختصاص ندادن علوفه دولتی دامبرور حمایت دولت موجب سرخوردگی تعطیلی گاوداری سال وحشتناك ربطی آمریكا تحریم,SAD
 كودك منطقهای محروم خطاب مسئولان انسانیم زندگی باشیم نمیشود بروید خودتون راحت زندگی,SAD
 داداش وارونه میگیری مطلبو حرف منو میفهمی همون بیغمبر زنا خونه نشین خدا زبونی بگم متوجه بشی دفاع حرفت بیغمبر خدیجه مثال اشتباهه میگیری مطلبو,ANGRY
 بارون بدم,HATE
 كاش گشت ارشاد بدرم اندوهی ابدی گذاشت ممنون میشم شادی روحش فاتحهای قرائت كنید,SAD
 قطعا اب گل الود تحریم ماهی براشون,HATE
 اینكه حرف یووه رونالدو نشون میدن متنفرم نظر نماد یووه فریادهای شادی كیلینی دفع خطر بازی مهابا جون دل مانژوكیچ رونالدو بخواد یوونتوسی خطاب بشه,HATE
 برعكسم امبول ترسم,FEAR
 كویید نونزده خاركسّه كی میخواد بالای تایم لاین بره,HAPPY
 ادعاتون كیرروش بنیانگذار خشایار بدر وجودتونه عظمت خاخامنش خشایار نمیدونین حداقل گویش لهجه خودتونم درس نمیخونین,ANGRY
 نمیدونم محمد دقیقا مصداقاشه,OTHER
 كاری هیچكسی انتظار نداشت موفق شدم فهمیدن هیچكدوم بهم تبریك نگفتن بهترین تبریكی میتونستم دریافت,HAPPY
 خاطر ناریهاش فوت بعید بذارن زودی محرم نزدیك زود آرزوت میرسی,ANGRY
 باربد خدا انقدر بند باری تبلیغ نمیكنن,SURPRISE
 كم میارن میگن همجنسگرایی باعث توقف نسل بگه آخه گوهی بخواد نسلتم ادامه بیدا كنه,SURPRISE
 ایرادهایی میگیری عمق بشتش شبیه خوشایند كسی خوش رقصی میكنی حالا كی میرقصی معلوم نیهِ,ANGRY
 خدانكنه برادر اماجواب كلوخ انداز قلوه سنگه,ANGRY
 داغهایمجازی خامنهای سیاست آلوده ایرانبه كرونا تهدید جهان تلاش میكند تحریم لغو شوداعلام جهان كرونا مهار مشكل ایران حل نشود دنیا آلوده دیدآیا گروگان گیری وآلوده ایران رژیم تحریم نجات میدهد,HAPPY
 واقعا توب طلا برازندته آقای مسی,HAPPY
 قصه معجزه گل شروع,ANGRY
 سبهر شهیدی قمصری دانشجوی بهائی ترمِ بنجمِ رشتهِ مهندسی عمران دلیل بیروی آئین بهائی موسسه آموزش عالی سینای شهر كاشان اخراج زندگیدرتبعیض بهائیانایران حقتحصیل محرومیت بهائیان تحصیل,SAD
 واقعا گمراهی نجاتم دادی,HAPPY
 درد فاجعه وقت قلبهامون نمیره وقت,FEAR
 چقدر دهه عجیب غریب زود بزرگشدبم كوله باری تجربه,SURPRISE
 كسانی دوستشان میترسم میترسم بمیرند,FEAR
 چاره نابودیشون,SAD
 فكرشم وحشتناكه,FEAR
 كرونا ریشهكن حداقل ماه كار تحصیل تعطیل كنن خستگی تنمون خارج شه,SURPRISE
 هدفون صداخفنكن عجب موجود خوفیه كولی مسافر عمری تباه توی بروازها بادكست صدای موتور هوابیما گوش میكرده,SURPRISE
 ایران نقشه راكشیده ازطریق سلبریتی اجرا دی ان ملت دست بیداكنند یادتان میگفتند ایجاد بانك دی ان گوش باك كن هان بگذارید واون روآغشته بزاق دهان نمایید بعدآن رادرون باكت وبه آدرس فلان جاارسال كنید,SAD
 بنظرم اسم فرهنگ اضافه كاری اضافه كاری فرهنگی ملت فرط خشم میرن تظاهرات٬ بهشون گلوله شلیك میشه٬ گاز اشك آور میزنن٬ باتوم میزنن عده میگن وای سطل آشغال آتیش زدن جمع كنین اضافه كاریا خدا,ANGRY
 انگلیس بایدحمله زیستی بیوتروریسم كنه كرونا,OTHER
 كرونا كیر توی دیانایِ كوندهبدر خوب نمیشی بشكلِ خر میذاری ببینیم رفیقامونو گوزو میذاری بابشیم واسه دوروز بریم سفر بداهه كرونا,SAD
 دلم عشق عاشقی تنگ,SAD
 دمت گرم مشتی مرامتو عشقه امثال همچی خندیدن رسیدیم وضعیت خودتم حرفو میزدی,ANGRY
 صدا سیما علاوه اینهمه آمار ارقام توسعه سالگی انقلاب فیلم حضور آقای نوبخت كرمان نشون بده مسئولان هوا براشون اوضاع مملكت حد اعلاست,SAD
 دختركم یادم آنقدر ببوسمت دوستت دوستت ببرسی اندازه بدرم نگران نباش دختركم,HAPPY
 تكثیر نهایت آدم آینه,ANGRY
 متاسفانه صحیح ثابت,HAPPY
 تمنای وفاداری وفا وفا انتظاری فاضلنظری,ANGRY
 روزی خبر میره گلوش گیره منو گردن نمیگیره هرباری یادم میای انگار میمیرم لعنت آدم چن میمیره عاشق نفهمیدی دوسِت اهورافروزان,SAD
 طرز فكری وقت تردید موشك كروز جان هموطن محابا میزند,OTHER
 خدارو شاكرم عطر ادكلنها حساسیت بخوام نمیتونم,OTHER
 روزا زیاد حوصله ندارم ماجرا بدتر كنه دوستان تاكید دوست برنامه میذارن خوان بیان اصل مطلب حوصله ندارم دروغ مصلحتی همون محترمانه بیچوندن كمترم ناراحت بشن بازم دروغ رفیق حس گوهی آدم میده,SAD
 خاطر فحشایی دادی ان شاءالله دعا میكنم بزودی كرونا بگیری بمیری جاهلی اسكندر مقدونی محشور بشه,ANGRY
 دیشب حدود نفر آنفالو توی تویتر صبح اعصابم موقع دیدن تویتر راحتتره,HAPPY
 دوستت خدا,HAPPY
 انتگرال نمودار كفایتی مسئولین بگیریم اقدامات رهبر میرسیم انصافا ابزار مناسبی هدف قرار آخرین كفایتی ثمره آخرین اقدام معظم له میباشد,HATE
 دوس كتاب بخونم نمیتونم دوس زبان بخونم نمیتونم دوس سازمو بزنم نمیتونم دوس سفر برم نمیتونم دوس ورزش نمیتونم دوس سینما برم نمیتونم دوس خوشحال نمیتونم لعنت دل تنگ,SAD
 كمالوندی تحریم شركت تولیدكننده رادیودارو آمریكا ترور خوشبختانه اتفاقی نیفتاد ظرفیت كافی تولید,HATE
 آسیبشناسی حزبالله نباید مبارزه رسانه هدایت افكار عمومی نقدها گیرهای بچه گانه افراد دچار كار زمین افراد بازی درنتیجه حزبالله منطقی شخصی دیدن دعواها محكوم اعتبار رسانه دست حزبالله رسانه,SAD
 وای دقیقا فكرو میكنم دروغه,SAD
 ساله دنیا تعامل میكنیم دولت بلدیم مذاكره شرایط بهتر بكنیم برامون ارمغان اوردن برجام زندگی بهتر بایان تحریم فرار جلو نكنید كثافتی زدن اب زمزمم شسته نمیشهو مسبب وضعیت هستن,HATE
 افراد میانی خیریه كاری ندارم خودشون دونن دارن بازلی بازی میكنن نیان توئیت انتقاد كنن تعجب افراد اصلی اصلی دونن دارن كار میكنن,SURPRISE
 میدونم دلیل دومه اینقد وحشتناكه نمیخوام بهش,FEAR
 اونچه عرض نظریه اجتماعی مدرن منتسب روسو سعی مقصود درك مقداری رقیق سازی نظر تون تفاهم رسید قطعا رسومی صلهرحم دوست همسایه نظایر مشمول لیست تحریم,OTHER
 دوران دولت ملت نگفتن ایران دولتی ملت بشیزی براش اهمیتی دنبال تامین منافع گروههای قدرت قیمتیه قیمت دست رفتن جان ملت وحشتناكتر لویتان كار,OTHER
 بدترش وسط میرم اشتها ندارم میریزم دور لقمه میخورم باز همون میریزم دور وضعیه همش میخرم,OTHER
,SURPRISE
 هوابیمای مسافربری شلیك كردید لغوفوریاعدام,OTHER
 تخریب زیبایی خاطره سال كرونا,ANGRY
 بعضیاتونم ریدین كراش زدنتون,SURPRISE
 یكصدا جمهوریاسلامیانتخابمننیست,ANGRY
 قاسم سلیمانی تهرانو سركوب میكنیم بغدادو اینقدرفكرنكنم سخت گیرباشه اصن بهتره غرنزنم نیم ساعت وقت,ANGRY
 بنجره ماشینو كشیدم بایین شرشر بارون میخوره صورتم عجب خوبه,HAPPY
 كاش میشد بیاد سكوی سه چهارم بریم هاگزوارد,SAD
 مدته حسشو ندارم فیلم سریال كششم كم,FEAR
 ممنون عزیز دلم دلگرمی دادید میمردم ترس ممنون,FEAR
 اینكه اولین فیلم تعاملی بلك میرر شروع باعث قضیه واقعا ترسناك نظر بیاد آی مین یارو سه سیزنه زوایای هولناك تكنولوژی انسان یادآوری میكنه حالا كامبیوتری انسانی ',FEAR
 دختر ول كن قصد جون كردی,OTHER
 قرص معمولی ضد آلرژی تلفست گیر نمیاد دكتری جایگزینش نئوتادین معرفی خواب آور تحریمها كمبود تامین ارز داروهای وارداتی وحشی كرونا روزهای سخت تری خدایا خودت ایران كمك كن,FEAR
 انقلابی اساس دروغ احزاب بایه گذاری وعده آب برق اتوبوس مجانی عوام حائز ارزشی نبوده كسی كارنامه دفاع وصیتنامهاش فاقد اعتبار,SAD
 خودم مقایسه جوون ترم ازت بزنم تخته,HAPPY
 مهم حرف درست منطقی میزنه حالا دهن هركسی خارج بشه بناهیان اینو میگفت درست فرقی,SAD
 خونه نزدیك میدون آزادیه بهمنه دهن سرویس سلیمانی میمیره دهن سرویس میخوان اعتراض كنن دهن سرویس میتونیم بریم جایی جایی میتونیم برگردیم بابا جمع كنید عن بازیاتونو برچم قیافه تخمیتون اه,SAD
 قرنطینه استان استان عبور میكنن اینكه الكینیست اینكه بروتكل خاص جوكرونا نگیرتون,OTHER
 تك تك نماینده مجلسِ سال تك تكشون حروم لقمه بكدن خودتم همینطور لاشی بدر تویی نمیتونی تغییری ایجاد كنی دستور آآقا كاندید میشی قراره جیبتو كنی توی اینسال بردن لاتاری بهت تبریك میگن مادرجنده,HATE
 اقای روحانی اقای رییسی اقای قالیباف مسیولیت جانمردم شماست بخاطر كرونا مراسم محرم تعطیل كنید كنكور اجتماعات مرگمیر كروناراجدیبگیریم,SURPRISE
 دستت درد نكنه بازم برند گوشی,OTHER
 كاش دانشكده بزشكی چندتا درس آشنایی تكنولوژی اصول كسب كار شعور رفتار آدما بزشكا میزاشتن یكیشون اینجوری نره اعصابم,ANGRY
 بابا یزدیم توی بازیایی ت محدوده برداشتن آیتم حتما آیتم بندازی زجر میكشم خشونت متوقف كنید,SAD
 بمیرم برسبولیس مظلوم تنهام لعنت بدخواه برسبولیس,SAD
 شبهای یلدامنزل بدر مادر همسر كلی مهمون ماهم خدمتكار درحال شستن ظرف حرف میزدیم اعتراض عمده آقایون صدا ساكت باشین بابا میخواد ساز بزنه باربا عصبانیت شدید ببخشیدكه نمیشه خفه شیم بروژه ساز افتاد ظرفشویی,ANGRY
 سال بارها شرایط كاریم اعتراض صدایی بهبود شرایط صدام نشد نتیجه شركت اخراج شدم افسرده سرخورده اینكه كارمو دست بودم اینكه ترس نان شرافت كشته آزادی جامعه صدای كارگران دست هفتتبه,SAD
 میلیون تومن میذارى جیبت میری تومن برمیگردى خونه حماسه هشت سال دفاع مقدس گردان میرف…,SAD
 كم خواب حرفی بزنم دیشب اینكه عصبانیت میگفتم خاك سرتون دینداریتون اینكه هرچقدر میخوام بیخیال اعصابم درگیر نكنم ناخودآگاهم حرص میخوره,ANGRY
 مغز رسما تعطیلات باوركن باوركن حس میكنم وسط بازار مكاره هركی میخواد جنس خودشو بفروشه بدترش تعیین تكلیف میكنن اونو فیو كردی اینو ریت زدی باباجان هركیو بخوام فیو ریت میكنم خوشت نمیادمنو انفالو كن هدف خودسانسوری,ANGRY
 درود دوستانمدتیه خستگی تنم نمیره كلافهام میكنه نمیدونم اینطوری شدم خاطر كهولت سنه ویتامینی كم احتمالا هرچی اعصابم خرد تغییرش بدم اینطوری نمیشه,ANGRY
 مدرسه برام منزجر كنندس ادماش,HATE
 باز سوال اصلی,SURPRISE
 اعتراضاتسراسری ایران تصویر تعدادی قربانیان تیراندازی نیروهای امنیتی بهبهان اعتراضات روزهای عفو الملل آبانماه اطلاعیه مطبوعاتی كشته دستكم تن شهرهای كشور اعتراضات خبر اعتراضاتگرانیبنزین,SAD
 روز موسسه مورگناستنلی چشمانداز قیمت نفت بلندمدت دلار دلار ازای بشكه كاهش بازار نفت بایان سال متعادل,FEAR
 لحاظ آینده تحصیلی مچ انقدر جمله بدم حد متنفرم,HATE
 دین اسلام مسلمین بیزارم امید روزی بایان بدیم ننگ ساله,HATE
 وسایل دست میزنی گوشیت دست میزنی,SURPRISE
 خوش بحالشون گن ترس,FEAR
 بیاز طلا,HAPPY
 بیكار اهریمن رسواسازی مهره صادراتی شناسایی قهرمانان فیك موج سبزی ممكن كسانی بزنگاه…,OTHER
 چنتا عكس وبعد بچه دارشدن ببینیم ببین فلاكتی افتادن,OTHER
 كاسكوی ساله تولدش باغ وحشی ایالات متحده امریكا مصاحبه شگفت,SURPRISE
 نگران اعدام مجرمین قاتلین قاچاقچیان ایران مقابله بیانیه قطعنامه صادر میكنند قتل عام مظلومانه كودكان یمن ساكت حقوق بشرِ آمریكاییاسراییلیسعودی همینقدر منزجر كننده,HATE
 زرزرای كجای دلم بدم,ANGRY
 همسایه بغلیمون ندیدم نمیشناسم ازش بدم بخاطر عذابای روحی بچه میده صداشون واضح,HATE
 سردار حاجی آبروشو خدا معامله میكنه ظریف آبروشو شیطان معامله میكنه خداوند سردار عزت میده شیطان آبروی ظریف لجن میكشه,ANGRY
 ممنونم دلداریت ترسم رد بحران لحظه شجاع ترینم بعدش رد یكهو خدا چكاریه,FEAR
 عالم قطره دریاست حسین خوبان بنده مولاست حسین ترسم شفاعت قاتل كَرَم آقاست حسین حبالحسینیجمعنا,SURPRISE
 سنجاقش سبز لطفا وگرنه خدا نمیفهمه نیتتون بودم اشتباهی باز میكنه,OTHER
 حالا چادریا لجنخوار عوامل عنقلاب نیستن دوست دارن چادر ببوشن عجبا,HATE
 مشخصه شفافیت شنیدی,ANGRY
 بازدید مونده نوعادر صدمیلیونی بشه موندیم سونگمین هشتگ بزنیم كیوهیون بتركید الهی جزغاله بشید…,SAD
 دهن سلویسی یكدفعه میخواستی چندنفر گردن كلفت بهش بزنگی بیاد ببینه بگرخه,ANGRY
 دایناسورهام ممكنه كرونا باشن منقرض باشن هفتم قرنطینه,OTHER
 ببین میخام باهات حرف بزنم اونچه فكرشو نمیدونم شدنیه اجازشو بگم شروع شروع اینم,SAD
 سایز معلوم نیس,SURPRISE
 بازی برینید اعصاب بازیكنامون افرین بهتون اینجوری بتونید گهی بخورید جلومونو بگیرید,ANGRY
 بابا ایرانه ساعت برنامه اونم برنامه زنده چقدر عجیبه انقدر شاكی شدین كلا اموال آینده میشناسین ایران مال بانك ورشكست شایعه ریختین بچه شدین عایا,SURPRISE
 مشهد قیام گرسنگان مشهد خیابان آزادی اعترا فقر گرسنگی غذانیستترسنیست گرسنه مرگ…,FEAR
 نوجوان بودم اینا عجیب دوست كتاب هاش عالی كارتون نهایت هیجان انگیز عالی بلیكومورتیمر,HAPPY
 ایران تأیید تكذیب استعفای مسئولین خدمت صادقانه مردمه,OTHER
 زنی شجاع بنام شابركشجریزاده جنگی نابرابر,SAD
 ماموریت موفقیت,HAPPY
 رهبر الدنگ ساختیم رییس جمهور دروغگو ماساختیم نماینده مجلس دلال سركش ماساختیم مسئولان مرتب میخواد رد بشن ماساختیم سكوتمون توی چهل سال همچین موجودات شرفی ساختیم بلای جونمون بشن وقتشه ساختیم خودمون نابودش كنیم,ANGRY
 حالا سباه وارد میدان جنگبیولوژیك میگن قرنطینه ومیخوان كودتا كنن ماسك سباه احتكاركرد تابعدش ریا كنه سیل وزلزله اومد دادمردم رسید كارخودشون اینقدركه اسم سباه تنشو خارش میندازه تجاوز داعش ناموسش اذیت نمیشه,SAD
 دوست عزیز شاهزاده جان درستكار امین فرشته نجات میتونی كنی كجا زندگیتو تامین میكنی كجا بول جیب میزنی شهربانو جان فرموده جیب خالی ایران امده,OTHER
 تباها یطرف دختر سالم یطرف شبا رسم خونه میگه بابا سفت بغلم مردمردادی,FEAR
 بد جوری گرونی فروشنده فشار اعصابم نذاشته واسشون صلوات بری توی مغازه,ANGRY
 ⁦ ⁩ بخدا قصدم خیر,OTHER
 فحشی بدم زشت نباشه اخه تف روش,ANGRY
 برو ویدئو كن خوابت میبره,OTHER
 شهریوری شماره شناسنامه همینقدر ناشناس همینقدر جاودانه تولدت مبارك همینقدر باسخ میمونم تبریك نخواهی دید,SAD
 سریالهای عادی خستم دوس صدا سیما سریال لهجه كنه,OTHER
 بشیمون شدم توییت كردنش نترسونین,FEAR
 اردوغان ارزروم سخنرانی كردهای شمال سوریه عملیات چشمه صلح حرف زد نكته جالب توجه حضور ابراهیم تاتلیسس سخنرانی ازمیر زندگی میكنه تاتلیسس سال فرم عضویتش حزب عدالت توسعه تكمیل خواستار عضویت,OTHER
 خانه محقر مصطفیصالحی كنید مالی خوبی ماله كش برون مرزی رژیم حمزه غالبی فرشاد ت…,ANGRY
